T,mse,gamma,C
2,0.17672620468816944,0.007331769569431112,492.843129364583
3,0.2851897223174383,0.0065632183917866856,547.7068980840882
4,0.2754306459772501,0.005109426360001484,565.0719578170754
5,0.3464182875711574,0.003114080488185273,570.9710570326665
6,0.39587020329425016,0.0030478605588045325,621.2882206328683
7,0.4822400418901254,0.008840677309007807,625.6326153014871
8,0.4796827465665842,0.006254729938172733,441.6248372107668
9,0.7129445185974682,0.012541479090012315,301.49932174999947
10,0.6272217441105041,0.024969477231815473,251.3677564688587
11,0.6456037971737055,0.0063412828401244944,376.77010568437254
12,0.6112312467860334,0.007018302661454675,376.77010568437254
13,0.7621901365404801,0.006113574499585819,236.89546312176276
14,0.6984713965536047,0.0025820286374723437,564.7725790660385
15,0.8573903378312547,0.01082994510317105,8.17043843574237
