,test,pred
190,15.041666666666664,16.079134565317755
600,12.726666666666668,12.98388131911872
318,5.905,6.030199441806641
991,4.8950000000000005,4.843441557545699
761,13.42,12.947832690728998
299,18.06833333333333,18.064099874047766
329,10.501666666666663,10.047332904999731
882,9.361666666666666,8.811682151426677
1059,14.68,14.267965314853196
1037,15.156666666666665,15.87009606250535
468,22.43833333333333,19.89320184052144
763,8.945,8.185886821848722
105,29.81333333333333,30.328382473304938
146,5.5200000000000005,5.697950601596855
487,10.251666666666667,11.239517017654517
653,14.243333333333332,13.918503241971617
409,15.365,15.9617485708693
314,5.3900000000000015,5.460020842384775
118,8.035,7.7370604453028555
216,17.006666666666668,15.749495367123355
632,11.065,10.791431721287491
598,20.016666666666666,20.643355937517068
54,2.516666666666666,2.678635866388614
74,20.771666666666665,19.988189143493965
1023,31.10166666666667,31.316362377645074
402,25.17333333333333,26.178382673256802
90,7.788333333333332,7.984894781829436
92,17.918333333333333,18.21980887301117
1033,32.82,32.45596341478449
338,20.226666666666667,20.883200589200325
967,14.246666666666668,14.503733911769242
1147,14.171666666666667,14.210767394422529
465,16.580000000000002,16.61271976211287
758,6.963333333333334,6.724785198117498
789,8.376666666666667,8.36139352862278
610,19.126666666666672,19.55125036118761
474,5.318333333333333,5.116964704616063
32,7.033333333333334,6.967201882067567
887,12.553333333333333,12.387542955631485
364,18.96,18.97680285623039
1001,4.95,4.884681378531578
906,18.55,18.770373520767517
770,10.915,10.826155767937163
443,23.86666666666667,26.942646452770642
224,19.95833333333333,19.546435698178808
517,22.345,21.553130594870137
854,4.513333333333333,4.463845535999891
704,21.656666666666666,24.10248140253429
778,11.811666666666667,10.587098226146164
651,8.88,9.042716021340535
569,8.526666666666667,8.648123791077747
1027,9.628333333333332,9.877475870738746
563,12.768333333333333,12.335363524315877
745,10.778333333333334,10.798780992888393
790,22.09,21.125335426406192
449,18.625,18.379710846309873
757,9.39,9.361420239396576
112,8.271666666666668,8.612181648247311
342,19.371666666666666,18.88454488718332
447,17.275000000000002,18.76273183447108
982,7.010000000000002,7.241538642009797
214,20.786666666666672,20.88104746827116
1150,13.61,14.266608574873427
404,16.615,16.20381444511565
508,18.693333333333328,18.635055523789557
1108,17.266666666666666,17.20608024568116
442,13.038333333333332,13.356796490995404
1049,14.644999999999998,14.50220231359651
114,15.658333333333335,15.275764068901363
420,21.906666666666666,21.664269498855784
595,19.571666666666665,19.501963805098168
390,22.02,21.584349926567025
322,8.236666666666666,8.081109199662361
63,4.556666666666667,4.452012186169551
873,18.721666666666664,19.572077748185162
470,30.50833333333333,30.650727683119495
750,10.141666666666667,10.101093205342746
369,5.425,5.434115144138101
941,8.486666666666666,8.448846774956902
23,27.75333333333333,28.97984587444989
860,11.068333333333333,11.035867782678903
724,20.703333333333333,20.534099206481184
532,14.643333333333333,15.580665341458594
1110,15.683333333333335,15.788409151629818
380,15.376666666666665,15.716306154676086
372,30.88,33.59459606143855
462,20.466666666666665,19.716498508006904
949,4.351666666666667,4.786581271323481
705,25.9,26.15653897148854
144,15.643333333333333,16.670981220015502
244,7.633333333333333,7.511444820901485
848,7.968333333333334,7.877153672100118
866,2.286666666666666,2.3514535499068607
1053,5.321666666666667,5.449754570060346
852,3.303333333333333,3.304480736164461
298,28.951666666666664,27.080371261341494
946,23.70333333333333,23.260417044925358
52,14.888333333333335,14.90447818551274
754,10.246666666666664,10.053617543799188
